Title,Image_URL,Year,Time,Audience_Type,Rating,Vote_Count,Metacritic_Score,Content,Director,Stars,Movie_Link,Box_Office_Worldwide,studio,Cast
Fun & Fancy Free,"https://m.media-amazon.com/images/M/MV5BNWQzNTEzYjctODJiZi00NDRmLTkwODctNTczMzQ5ZDQyMTFjXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_QL75_UX140_CR0,1,140,207_.jpg",1947,1h 13m,U,6.4,(9.6K),66,Animation done to contemporary popular music.,Ford Beebe Jr.,Wilfred Jackson,https://www.imdb.com/title/tt0039404/?ref_=ls_t_9,,disney,"Edgar Bergen, Dinah Shore, Luana Patten, Anita Gordon, Cliff Edwards, Billy Gilbert, Clarence Nash, The King's Men, The Dinning Sisters, The Starlighters, Pinto Colvig, Ken Darby, Walt Disney, James MacDonald, Betty Romaine, Lee Sweetland"
Melody Time,"https://m.media-amazon.com/images/M/MV5BOTc2NTYxNDAtNDA0NC00ZGNiLTk2N2UtZDkzYzdmMjZkZDcwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX140_CR0,2,140,207_.jpg",1948,1h 15m,U,6.1,(7.1K),69,"Jiminy Cricket hosts two Disney animated shorts: ""Bongo,"" about a circus bear escaping to the wild, and ""Mickey and the Beanstalk,"" a take on the famous fairy tale.",Samuel Armstrong,Dickie Jones,https://www.imdb.com/title/tt0040580/?ref_=ls_t_10,,disney,"Roy Rogers, Trigger, Dennis Day, Laverne Andrews, Maxene Andrews, Patty Andrews, Fred Waring and His Pennsylvanians, Freddy Martin, Ethel Smith, Frances Langford, Buddy Clark, Pat Brady, Hugh Farr, Bob Nolan, Lloyd Perryman, Tim Spencer, Ginger Dinning, Jean Dinning"
The Adventures of Ichabod and Mr. Toad,"https://m.media-amazon.com/images/M/MV5BNjAzZDA2MWItZDdjMi00NTBlLTg5OTItYWQ1YTA1NGNiMGVhL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",1949,1h 8m,PG,6.8,(18K),74,An anthology of animated vignettes set to contemporary music.,Norman Ferguson,Christian Rub,https://www.imdb.com/title/tt0041094/?ref_=ls_t_11,,disney,"Bing Crosby, Basil Rathbone, Eric Blore, John McLeish, J. Pat O'Malley, Colin Campbell, Campbell Grant, Claud Allister, Jud Conlon's Rhythmaires, Pinto Colvig, Jud Conlon, Leslie Denison, Mack McLean, Clarence Nash, Loulie Jean Norman, Charlie Parlota, Edmond Stevens, Oliver Wallace"
Cinderella,"https://m.media-amazon.com/images/M/MV5BODFmMmE3ODItN2VlNi00NWFkLTg1N2EtZTNkMTIyM2IzNWZhXkEyXkFqcGdeQXVyMTE0OTMwOTg@._V1_QL75_UX140_CR0,2,140,207_.jpg",1950,1h 14m,U,7.3,(176K),85,"An animated adaptation of ""The Wind in the Willows"" followed by an adaptation of ""The Legend of Sleepy Hollow"".",Wilfred Jackson,Mel Blanc,https://www.imdb.com/title/tt0042332/?ref_=ls_t_12,"$96,383,330",disney,"Ilene Woods, James MacDonald, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen, John Woodbury, Lucille Williams, June Foray"
Alice in Wonderland,"https://m.media-amazon.com/images/M/MV5BMTgyMjM2NTAxMF5BMl5BanBnXkFtZTgwNjU1NDc2MTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",1951,1h 15m,U,7.3,(156K),68,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",James Algar,James Algar,https://www.imdb.com/title/tt0043274/?ref_=ls_t_13,$865,disney,"Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway, Jerry Colonna, Verna Felton, J. Pat O'Malley, Bill Thompson, Heather Angel, Joseph Kearns, Larry Grey, Queenie Leonard, Dink Trout, Doris Lloyd, James MacDonald, The Mellowmen Quartet, Don Barclay, Lynn Bari"
Peter Pan,"https://m.media-amazon.com/images/M/MV5BMzIwMzUyYTUtMjQ3My00NDc3LWIyZjQtOGUzNDJmNTFlNWUxXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_QL75_UX140_CR0,1,140,207_.jpg",1953,1h 17m,U,7.3,(155K),76,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,Samuel Armstrong,Samuel Armstrong,https://www.imdb.com/title/tt0046183/?ref_=ls_t_14,"$87,405,539",disney,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Tommy Luske, Candy Candido, Tom Conway, Roland Dupree, Don Barclay, Lucille Bliss, Tony Butala, Carol Coombs, Robert Ellis, June Foray, Connie Hilton, Margaret Kerry"
Lady and the Tramp,"https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_QL75_UY207_CR1,0,140,207_.jpg",1955,1h 16m,U,7.3,(150K),78,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",David Hand,Ford Beebe Jr.,https://www.imdb.com/title/tt0048280/?ref_=ls_t_15,"$93,933,673",disney,"Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson, Bill Baucom, Verna Felton, George Givot, Lee Millar, Stan Freberg, Alan Reed, Dal McKennon, The Mellowmen Quartet, Jerry Boris, Pinto Colvig, Kabe Dobsister, Bob Hamlin, Taylor Holmes, Earl Keen"
Sleeping Beauty,"https://m.media-amazon.com/images/M/MV5BOTJmZjA3MjMtMWNmZS00YTliLWFhMWUtZDU2NGJhNTlmY2ZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",1959,1h 15m,U,7.2,(162K),85,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,Wilfred Jackson,Leopold Stokowski,https://www.imdb.com/title/tt0053285/?ref_=ls_t_16,"$51,600,401",disney,"Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton, Barbara Luddy, Barbara Jo Allen, Taylor Holmes, Bill Thompson, Bob Amsberry, Billy Bletcher, Candy Candido, Pinto Colvig, Hans Conried, Dal McKennon, Marvin Miller, Clarence Nash, Purv Pullen"
101 Dalmatians,"https://m.media-amazon.com/images/M/MV5BZGMyMjE4OGUtNGZmMC00YzdmLThkMWYtZWIzMmEzNjA4MzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1961,1h 19m,U,7.3,(184K),83,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",Jack Kinney,Deems Taylor,https://www.imdb.com/title/tt0055254/?ref_=ls_t_17,"$215,880,014",disney,"Rod Taylor, Betty Lou Gerson, J. Pat O'Malley, Martha Wentworth, Ben Wright, Cate Bauer, David Frankham, Frederick Worlock, Lisa Davis, Tom Conway, Tudor Owen, George Pelling, Ramsay Hill, Sylvia Marriott, Queenie Leonard, Marjorie Bennett, Mickey Maga, Barbara Beaird"
The Sword in the Stone,"https://m.media-amazon.com/images/M/MV5BODc2MjAyZDYtNWYwZi00YTQwLWE0ZDMtMjM2NTJmYWMxMmQ0XkEyXkFqcGdeQXVyNTQxMTIxMTk@._V1_QL75_UX140_CR0,3,140,207_.jpg",1963,1h 19m,U,7.1,(107K),61,"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",Hamilton Luske,The Philadelphia Orchestra,https://www.imdb.com/title/tt0057546/?ref_=ls_t_18,"$12,000,000",disney,"Rickie Sorensen, Sebastian Cabot, Karl Swenson, Junius Matthews, Ginny Tyler, Martha Wentworth, Norman Alden, Alan Napier, Richard Reitherman, Robert Reitherman, Jack Albertson, Barbara Jo Allen, Fred Darian, James MacDonald, Tudor Owen, Thurl Ravenscroft"
The Jungle Book,"https://m.media-amazon.com/images/M/MV5BYmY1MTA3NmUtYzJmZC00YTFjLTk2NzktYTJhMWQ0ZTlkNzJjXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1967,1h 18m,U,7.6,(201K),65,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",Norman Ferguson,Samuel Armstrong,https://www.imdb.com/title/tt0061852/?ref_=ls_t_19,"$205,843,612",disney,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman, George Sanders, Sterling Holloway, J. Pat O'Malley, Verna Felton, Clint Howard, Chad Stuart, Lord Tim Hudson, John Abbott, Ben Wright, Darleen Carr, Leo DeLyon, Pete Henderson, Bill Lee, James MacDonald"
The AristoCats,"https://m.media-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",1970,1h 18m,U,7.1,(116K),66,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Clyde Geronimi,Norman Ferguson,https://www.imdb.com/title/tt0065421/?ref_=ls_t_20,"$35,461,460",disney,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell, Lord Tim Hudson, Vito Scotti, Thurl Ravenscroft, Dean Clark, Liz English, Gary Dubin, Nancy Kulp, Pat Buttram, George Lindsey, Monica Evans, Carole Shelley, Charles Lane, Hermione Baddeley"
Robin Hood,"https://m.media-amazon.com/images/M/MV5BYjUwMzhkM2ItMTU2OC00OTQ5LWJlMDUtMzRmYjc0NDUyNGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1973,1h 23m,U,7.5,(140K),57,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Jack Kinney,Wilfred Jackson,https://www.imdb.com/title/tt0070608/?ref_=ls_t_21,,disney,"Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov, Terry-Thomas, Monica Evans, Andy Devine, Carole Shelley, Pat Buttram, George Lindsey, Ken Curtis, Candy Candido, John Fiedler, Dana Laurita, Barbara Luddy, J. Pat O'Malley, Richie Sanders, Billy Whitaker"
The Many Adventures of Winnie the Pooh,"https://m.media-amazon.com/images/M/MV5BMjViYmUyZTUtNTkwNC00ODNiLWIyYmEtYjM3ZjE2NGNiZDNmXkEyXkFqcGdeQXVyNDUzNzgxODE@._V1_QL75_UX140_CR0,2,140,207_.jpg",1977,1h 14m,U,7.5,(40K),74,The story of the legendary British outlaw portrayed with the characters as anthropomorphic animals.,Robert Cormack,Sterling Holloway,https://www.imdb.com/title/tt0076363/?ref_=ls_t_22,,disney,"Sebastian Cabot, Junius Matthews, Barbara Luddy, Howard Morris, John Fiedler, Ralph Wright, Hal Smith, Clint Howard, Bruce Reitherman, Jon Walmsley, Timothy Turner, Dori Whitaker, Sterling Holloway, Paul Winchell, Connor Quinn, Thurl Ravenscroft"
The Rescuers,"https://m.media-amazon.com/images/M/MV5BZDkyNDQyN2ItOGM5ZC00MDM0LWI4MzgtMTZmNjQzNmIyNDk1XkEyXkFqcGdeQXVyMjI4NDQ1Mzc@._V1_QL75_UY207_CR4,0,140,207_.jpg",1977,1h 17m,U,6.9,(71K),65,"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.",Clyde Geronimi,Edward Brophy,https://www.imdb.com/title/tt0076618/?ref_=ls_t_23,"$71,215,869",disney,"Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn, Jeanette Nolan, Pat Buttram, Jim Jordan, John McIntire, Michelle Stacy, Bernard Fox, Larry Clemmons, James MacDonald, George Lindsey, Bill McMillian, Dub Taylor, John Fiedler, Ruth Buzzi, Brian Cummings"
The Fox and the Hound,"https://m.media-amazon.com/images/M/MV5BMDQzZWRlYjctMjE0ZS00NWU5LWE3NzktYzZiNzJiM2UxMDczXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UX140_CR0,3,140,207_.jpg",1981,1h 23m,U,7.2,(103K),59,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,Jack Kinney,Herman Bing,https://www.imdb.com/title/tt0082406/?ref_=ls_t_24,"$63,456,988",disney,"Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson, Sandy Duncan, Jeanette Nolan, Pat Buttram, John Fiedler, John McIntire, Richard Bakalyan, Paul Winchell, Keith Coogan, Corey Feldman, 'Squeeks' the Caterpillar, Billy Bletcher, Brian Cummings, Linda Gary, James MacDonald"
The 40 Year-Old Virgin,"https://m.media-amazon.com/images/M/MV5BNWY1NDI0ZTQtMjJiNS00ODY4LWE1NmUtYTkwNzY3NWQ0ZDZjXkEyXkFqcGdeQXVyMTM0NTc2NDgw._V1_QL75_UX140_CR0,0,140,207_.jpg",2005,1h 56m,15,7.1,(473K),73,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Judd Apatow,Judd Apatow,https://www.imdb.com/title/tt0405422/?ref_=ls_t_1,"$177,378,645",hbo,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco, Seth Rogen, Elizabeth Banks, Leslie Mann, Jane Lynch, Gerry Bednob, Shelley Malil, Kat Dennings, Jordan Masterson, Chelsea Smith, Jonah Hill, Erica Vittina Phillips, Marika Dominczyk, Mindy Kaling, Mo Collins"
Anger Management,"https://m.media-amazon.com/images/M/MV5BMDg1YTNiODItZGYyOC00NGIwLWI3MjYtMTY3NDQ0ZDIwYjBiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",2003,1h 46m,15,6.3,(230K),52,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",Peter Segal,Steve Carell,https://www.imdb.com/title/tt0305224/?ref_=ls_t_2,"$195,745,823",hbo,"Jack Nicholson, Adam Sandler, Marisa Tomei, Luis Guzmán, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro, Kevin Nealon, Conrad Goode, Gina Gallego, Nancy Carell, Marisa Chandler, Don Diamont"
As Good as It Gets,"https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR0,0,140,207_.jpg",1997,2h 19m,15,7.7,(322K),67,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,Catherine Keener,https://www.imdb.com/title/tt0119822/?ref_=ls_t_3,"$314,178,011",hbo,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros, Jill the Dog, Timer the Dog, Billy the Dog, Bibi Osterwald, Ross Bleckner, Bernadette Balagtas, Jaffe Cohen, Laurie Kilpatrick, Alice Vaughn, Brian Doyle-Murray"
Beauty Shop,"https://m.media-amazon.com/images/M/MV5BM2Y4OTQ1NzYtYzlmMi00ZTdmLTk5YzYtOWYxZGE5MTI4OGY5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY207_CR0,0,140,207_.jpg",2005,1h 45m,12A,5.6,(19K),53,A determined hairstylist (Queen Latifah) competes with her former boss (Kevin Bacon) after opening her own business in Atlanta.,Bille Woodruff,Paul Rudd,https://www.imdb.com/title/tt0388500/?ref_=ls_t_4,"$37,245,453",hbo,"Queen Latifah, Alicia Silverstone, Djimon Hounsou, Andie MacDowell, Alfre Woodard, Mena Suvari, Della Reese, Golden Brooks, Laura Hayes, Paige Hurd, Lil J.J., LisaRaye McCoy, Keshia Knight Pulliam, Sherri Shepherd, Kimora Lee Simmons, Sheryl Underwood, Bryce Wilson, Kevin Bacon"
Blazing Saddles,"https://m.media-amazon.com/images/M/MV5BZGZmMWE1MDYtNzAyNC00MDMzLTgzZjQtNTQ5NjYzN2E4MzkzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY207_CR1,0,140,207_.jpg",1974,1h 33m,AA,7.7,(154K),73,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary.",Mel Brooks,Peter Segal,https://www.imdb.com/title/tt0071230/?ref_=ls_t_5,"$119,620,114",hbo,"Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman, Madeline Kahn, Mel Brooks, Burton Gilliam, Alex Karras, David Huddleston, Liam Dunn, John Hillerman, George Furth, Jack Starrett, Carol Arthur, Richard Collier, Charles McGregor, Robyn Hilton, Don Megowan"
Caddyshack,"https://m.media-amazon.com/images/M/MV5BMjhlNzFiNTAtMGY4OC00ODFjLWI2NWQtZDMwNTNlMTJmNGM2XkEyXkFqcGdeQXVyNDUzNzgxODE@._V1_QL75_UX140_CR0,1,140,207_.jpg",1980,1h 38m,AA,7.2,(128K),48,An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.,Harold Ramis,Jack Nicholson,https://www.imdb.com/title/tt0080487/?ref_=ls_t_6,"$39,918,650",hbo,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight, Michael O'Keefe, Sarah Holcomb, Scott Colomby, Cindy Morgan, Dan Resin, Henry Wilcoxon, Elaine Aiken, Albert Salmi, Ann Ryerson, Brian Doyle-Murray, Hamilton Mitchell, Peter Berkrot, John F. Barmon Jr., Lois Kibbee"
Casino Royale,"https://m.media-amazon.com/images/M/MV5BZmY3MDQ5NDktYzViZC00NTgwLTg1MDktMDlkNmYzYjk4NDJhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1967,2h 11m,PG,5.0,(33K),48,"In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.",Val Guest,Adam Sandler,https://www.imdb.com/title/tt0061452/?ref_=ls_t_7,"$2,500",hbo,"David Niven, Peter Sellers, Ursula Andress, Orson Welles, Joanna Pettet, Daliah Lavi, Woody Allen, Deborah Kerr, William Holden, Charles Boyer, John Huston, Kurt Kasznar, George Raft, Jean-Paul Belmondo, Terence Cooper, Barbara Bouchet, Angela Scoular, Gabriella Licudi"
Casino Royale,"https://m.media-amazon.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2006,2h 24m,15,8.0,(700K),80,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",Martin Campbell,Léa Seydoux,https://www.imdb.com/title/tt0381061/?ref_=ls_t_12,"$2,500",hbo,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini, Caterina Murino, Simon Abkarian, Isaach De Bankolé, Jesper Christensen, Ivana Milicevic, Tobias Menzies, Claudio Santamaria, Sebastien Foucan, Malcolm Sinclair, Richard Sammel, Ludger Pistor, Joseph Millson"
Click,"https://m.media-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2006,1h 47m,12A,6.4,(361K),45,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,Ken Hughes,Marisa Tomei,https://www.imdb.com/title/tt0389860/?ref_=ls_t_8,"$240,685,326",hbo,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Joseph Castanon, Jonah Hill, Jake Hoffman, Tatum McCann, Lorraine Nicholson, Katie Cassidy, Cameron Monaghan, Jennifer Coolidge, Rachel Dratch, Sophie Monk, Michelle Lombardo"
Deathtrap,"https://m.media-amazon.com/images/M/MV5BMjQ4NTE1NjUwNl5BMl5BanBnXkFtZTgwMzEzNTU1NTM@._V1_QL75_UY207_CR1,0,140,207_.jpg",1982,1h 56m,PG,7.0,(16K),54,"A struggling playwright invites a young writer to his home to discuss a script, but the meeting spirals into a deadly game of deception and betrayal.",John Huston,James L. Brooks,https://www.imdb.com/title/tt0083806/?ref_=ls_t_9,"$19,282,134",hbo,"Michael Caine, Christopher Reeve, Dyan Cannon, Irene Worth, Henry Jones, Joe Silver, Tony DiBenedetto, Al LeBreton, Francis B. Creamer Jr., Stewart Klein, Jeffrey Lyons, Joel Siegel, Jenny Lumet, Jayne Heller, George Peck, Perry Rosen, Jon-Erik Hexum"
The Devil Wears Prada,"https://m.media-amazon.com/images/M/MV5BZjQ3ZTIzOTItMGNjNC00MWRmLWJlMGEtMjJmMDM5ZDIzZGM3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UY207_CR0,0,140,207_.jpg",2006,1h 49m,PG,6.9,(479K),62,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",Frank Coraci,Jack Nicholson,https://www.imdb.com/title/tt0458352/?ref_=ls_t_10,"$326,715,791",hbo,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt, Stanley Tucci, Simon Baker, Tracie Thoms, Rich Sommer, Daniel Sunjata, David Marshall Grant, James Naughton, Tibor Feldman, Rebecca Mader, Jimena Hoyos, Gisele Bündchen, George C. Wolfe, John Rothman, Stephanie Szostak"
Diary of a Mad Black Woman,"https://m.media-amazon.com/images/M/MV5BMTIyOTA1NTg0NV5BMl5BanBnXkFtZTcwMzE2MzgyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2005,1h 56m,12,5.7,(16K),36,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,Sidney Lumet,Helen Hunt,https://www.imdb.com/title/tt0422093/?ref_=ls_t_11,"$50,652,203",hbo,"Kimberly Elise, Steve Harris, Tyler Perry, Cicely Tyson, Shemar Moore, Lisa Marcos, Tamara Taylor, Terrell Carter, Carol Mitchell-Leon, Avery Knight, Vickie Eng, Tiffany Evans, Gary Anthony Sturgis, Bart Hansard, Chandra Currelley-Young, Sho Dixon, Tamela J. Mann, Ric Reitz"
The First Wives Club,"https://m.media-amazon.com/images/M/MV5BOTUxMDkzMTItMzAxMC00MWY5LTk1N2ItMTEzOTRmZDYzOTE4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_QL75_UY207_CR0,0,140,207_.jpg",1996,1h 43m,PG,6.4,(55K),59,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",David Frankel,Greg Kinnear,https://www.imdb.com/title/tt0116313/?ref_=ls_t_12,"$181,489,203",hbo,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith, Sarah Jessica Parker, Dan Hedaya, Stockard Channing, Victor Garber, Stephen Collins, Elizabeth Berkley, Marcia Gay Harden, Bronson Pinchot, Jennifer Dundas, Eileen Heckart, Philip Bosco, Rob Reiner, James Naughton, Ari Greenberg"
A Fish Called Wanda,"https://m.media-amazon.com/images/M/MV5BNTQ0ODhiNjEtMDFiYi00NmZhLWJkMzQtNTBkOGQwOTliZDAxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,1,140,207_.jpg",1988,1h 48m,15,7.5,(155K),80,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.",Darren Grant,Bille Woodruff,https://www.imdb.com/title/tt0095159/?ref_=ls_t_13,"$62,493,712",hbo,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin, Maria Aitken, Tom Georgeson, Patricia Hayes, Geoffrey Palmer, Cynthia Cleese, Mark Elwes, Neville Phillips, Peter Jonfield, Ken Campbell, Al Ashton, Roger Hume, Roger Brierley, Llewellyn Rees, Michael Percival"
The Full Monty,"https://m.media-amazon.com/images/M/MV5BY2NjMGQzZmItMTMwYS00MDA2LWFmZmYtNjA4MTQ2ODNjYzRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,0,140,207_.jpg",1997,1h 31m,15,7.2,(115K),75,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",Hugh Wilson,Queen Latifah,https://www.imdb.com/title/tt0119164/?ref_=ls_t_14,"$257,938,649",hbo,"Robert Carlyle, Tom Wilkinson, Mark Addy, Wim Snape, Steve Huison, Paul Barber, Hugo Speer, Lesley Sharp, Emily Woof, Deirdre Costello, Paul Butterworth, Dave Hill, Bruce Jones, Andrew Livingston, Vinny Dhillon, Kate Layden, Joanna Swain, Diane Lane"
The Gods Must Be Crazy,"https://m.media-amazon.com/images/M/MV5BMmExNTIzZTQtMmUxNC00NTUwLTg1MTgtMzUxYWE5ZjdmZGRmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",1980,1h 49m,PG,7.3,(60K),73,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",Charles Crichton,Alicia Silverstone,https://www.imdb.com/title/tt0080801/?ref_=ls_t_15,"$30,031,783",hbo,"N!xau, Marius Weyers, Sandra Prinsloo, Louw Verwey, Michael Thys, Nic de Jager, Fanyana H. Sidumo, Joe Seakatsie, Brian O'Shaughnessy, Ken Gampu, Paddy O'Byrne, Graham Armitage, Vera Blacker, Pip Freedman, Katinka Heyns, Jamie Uys, Janet Wells"
Guarding Tess,"https://m.media-amazon.com/images/M/MV5BNzFkM2RiNWQtOWQxNy00ZWNmLWIyZTktNmJjZmY1ZTliZjU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX140_CR0,1,140,207_.jpg",1994,1h 36m,12,6.2,(20K),50,"A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.",John Cleese,Djimon Hounsou,https://www.imdb.com/title/tt0109951/?ref_=ls_t_16,"$27,058,304",hbo,"Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert, James Rebhorn, Richard Griffiths, John Roselius, David Graf, Don Yesso, James Lally, Brant von Hoffman, Harry Lennix, Susan Blommaert, Dale Dye, James Handy, Stephen S. Chen, Katie O'Hare, Mark Conway"
Hopscotch,"https://m.media-amazon.com/images/M/MV5BNmZhNWEyNmYtOWQyNy00OTY2LTk3MDQtMjM1YWVlOGRlMWMyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,3,140,207_.jpg",1980,1h 46m,AA,7.1,(9.1K),59,"Grounded with a desk job by incompetent superiors, a clever CIA agent retires and writes a tell all memoir that will embarrass his bosses, prompting him to go on the run and elude them.",Peter Cattaneo,Mel Brooks,https://www.imdb.com/title/tt0080889/?ref_=ls_t_17,,hbo,"Walter Matthau, Glenda Jackson, Sam Waterston, Ned Beatty, Herbert Lom, David Matthau, George Baker, Ivor Roberts, Lucy Saroyan, Severn Darden, George Pravda, Jacquelyn Hyde, Mike Gwilym, Terry Beaver, Ray Charleson, Christopher Driscoll, Michael Cronin, Roy Sampson"
